DISTRICT NAME,ALLOTED WARDs-SSAs,WARDs-SSAs SURVEY_DONE,HOUSEHOLD COVERAGE-%
Gandhinagar,283,283,100.00%
Ganganagar,494,494,100.00%
Ganjam,739,739,100.00%
Garhwa,187,187,100.00%
Garhwal,324,324,100.00%
Gariyaband,151,151,100.00%
Gautam Buddha Nagar,392,392,99.97%
Gaya,430,430,100.00%
Ghaziabad,359,359,100.00%
Ghazipur,397,397,100.00%
Gir Somnath,192,192,100.00%
Giridih,312,312,100.00%
Goalpara,211,211,100.00%
Godda,216,216,100.00%
Golaghat,181,181,100.00%
Gomati,80,80,100.00%
Gonda,437,437,100.00%
Gondiya,322,322,100.00%
Gopalganj,487,487,100.00%
Gorakhpur,1251,1251,100.00%
Gulbarga,472,472,100.00%
Gumla,171,171,100.00%
Guna,260,260,100.00%
Guntur,1246,1246,100.00%
Gurdaspur,478,478,100.00%
Gurgaon,183,183,100.00%
Gwalior,423,423,100.00%
Hailakandi,126,126,100.00%
Hamirpur,286,286,100.00%
Hamirpur,234,234,100.00%
Hanumangarh,427,427,100.00%
Haora,554,554,100.00%
Hapur,285,285,100.00%
Harda,262,262,100.00%
Hardoi,693,693,100.00%
Hardwar,213,213,100.00%
Hassan,476,476,100.00%
Haveri,385,385,99.83%
Hazaribagh,250,250,100.00%
Hingoli,125,125,100.00%
Hisar,401,401,100.00%
Hoshangabad,504,504,100.00%
Hoshiarpur,535,535,100.00%
Hugli,919,919,100.00%
Hyderabad,115,115,100.00%
Idukki,204,204,100.00%
Imphal East,74,74,100.00%
Imphal West,120,120,100.00%
Indore,444,444,100.00%
Jabalpur,432,432,100.00%
Jagatsinghapur,243,243,100.00%
Jaintia Hills,57,57,100.00%
Jaipur,786,786,100.00%
Jaisalmer,272,272,100.00%
Jajapur,306,306,100.00%
Jalandhar,537,537,100.00%
Jalaun,325,325,100.00%
Jalgaon,903,903,100.00%
Jalna,407,407,100.00%
Jalor,347,347,100.00%
Jalpaiguri,373,373,100.00%
Jammu,83,83,100.00%
Jamnagar,202,202,100.00%
Jamtara,129,129,100.00%
Jamui,304,304,100.00%
Janjgir - Champa,486,486,100.00%
Jashpur,181,181,100.00%
Jaunpur,1187,1187,100.00%
Jehanabad,165,165,100.00%
Jhabua,163,163,100.00%
Jhajjar,205,205,100.00%
Jhalawar,374,374,100.00%
Jhansi,269,269,100.00%
Jharsuguda,109,109,100.00%
JHUNJHUNU,532,532,100.00%
Jind,258,258,100.00%
Jodhpur,469,469,99.97%
Jodhpur,469,469,99.97%
Jorhat,187,187,99.89%
Junagadh,280,280,100.00%
Jyotiba Phule Nagar,622,622,100.00%
Kabeerdham,206,206,100.00%
