Sr.No.,Region,State,District,Sub District,Center,Bank Group,Bank Name,Banking Channel Name,Part1 Code,Part2 Code,Population Group,AD Category,License No.,License Date,Address,Banking Channel Type,Sub Type,MICR,IFSC,Date of opening
80,NORTHERN REGION,JAMMU & KASHMIR,ANANTNAG,ANANTNAG,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,TARIQ AHMAD KHANDAY,0000SFBC0000002S,4440006,URBAN,,,,"VESSU VESSU,-1,ANANTNAG,JAMMU & KASHMIR,192101",BC,Individual BC,,,23-Nov-22
81,NORTHERN REGION,JAMMU & KASHMIR,BADGAM,BADGAM,BADGAM (MC),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,AADIL SULTAN WANI,0000SFBC0000002T,4320003,SEMI URBAN,,,,"WADWAN WADWAN,-1,BADGAM,JAMMU & KASHMIR,191111",BC,Individual BC,,,18-Sep-24
82,NORTHERN REGION,JAMMU & KASHMIR,SRINAGAR,SRINAGAR,SRINAGAR (M CORP. + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,Jan Mohammad,0000SFBC0000002U,4400599,METROPOLITAN,,,,"SHUNGLIPORA SHUNGLIPORA,-1,SRINAGAR,JAMMU & KASHMIR,190017",BC,Individual BC,,,28-Aug-21
83,NORTHERN REGION,JAMMU & KASHMIR,BADGAM,KHANSAHIB,KHANSAHIB (MC),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,AIJAZ AHMAD,0000SFBC0000002V,4320101,RURAL,,,,"RAITHAN RAITHAN,-1,BADGAM,JAMMU & KASHMIR,191111",BC,Individual BC,,,21-Nov-23
84,NORTHERN REGION,JAMMU & KASHMIR,RAMBAN,RAMBAN,RAMBAN (MC),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,SAJAD AHMED,0000SFBC0000002W,1370071,RURAL,,,,"CHANDERKOTE CHANDERKOTE,-1,RAMBAN,JAMMU & KASHMIR,182143",BC,Individual BC,,,14-Apr-25
85,NORTHERN REGION,JAMMU & KASHMIR,ANANTNAG,ANANTNAG,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,AB MAJID MIR,0000SFBC0000002X,4440006,URBAN,,,,"WAILOO WAILOO,-1,ANANTNAG,JAMMU & KASHMIR,192202",BC,Individual BC,,,14-Apr-25
86,NORTHERN REGION,JAMMU & KASHMIR,ANANTNAG,ANANTNAG,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,Javed Ahmad Sheikh,0000SFBC0000002Y,4440006,URBAN,,,,"KADDER KADDER,-1,ANANTNAG,JAMMU & KASHMIR,192231",BC,Individual BC,,,30-Nov-22
87,NORTHERN REGION,JAMMU & KASHMIR,KULGAM,KULGAM,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,MUDASIR AHMAD PARRY,0000SFBC0000002Z,1382401,RURAL,,,,"KELLER KELLER,-1,KULGAM,JAMMU & KASHMIR,192303",BC,Individual BC,,,27-Apr-24
88,NORTHERN REGION,JAMMU & KASHMIR,ANANTNAG,ANANTNAG,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,TOWFEEQ MUSHTAQ,0000SFBC0000003A,4440006,URBAN,,,,"SALIA SALIA,-1,ANANTNAG,JAMMU & KASHMIR,192125",BC,Individual BC,,,31-Jan-25
89,NORTHERN REGION,JAMMU & KASHMIR,KULGAM,KULGAM,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,Shafiq Ahmad Bhat,0000SFBC0000003B,1382401,RURAL,,,,"KELAM KELAM,-1,KULGAM,JAMMU & KASHMIR,192231",BC,Individual BC,,,04-May-23
90,NORTHERN REGION,JAMMU & KASHMIR,ANANTNAG,ANANTNAG,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,SHAKIR AHMAD,0000SFBC0000003C,4440006,URBAN,,,,"HARDTORU HARDTORU,-1,ANANTNAG,JAMMU & KASHMIR,192201",BC,Individual BC,,,14-Apr-25
91,NORTHERN REGION,JAMMU & KASHMIR,BADGAM,KHANSAHIB,KHANSAHIB (MC),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,IQBAL MAQBOOL WAGAY,0000SFBC0000003D,4320101,RURAL,,,,"Khan Sahib Gurweth Khurd,,-1,BADGAM,JAMMU & KASHMIR,191111",BC,Individual BC,,,30-Apr-21
92,NORTHERN REGION,JAMMU & KASHMIR,KULGAM,KULGAM,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,SHAFKAT AHMADLON,0000SFBC0000003E,1382401,RURAL,,,,"CHANDERGEE KULGAM KULGAM,-1,KULGAM,JAMMU & KASHMIR,192231",BC,Individual BC,,,27-Apr-24
93,NORTHERN REGION,JAMMU & KASHMIR,ANANTNAG,ANANTNAG,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,Raja Zahid Ahangar,0000SFBC0000003F,4440006,URBAN,,,,"UTERSOO UTTERSOO,-1,ANANTNAG,JAMMU & KASHMIR,192201",BC,Individual BC,,,30-Mar-21
94,NORTHERN REGION,JAMMU & KASHMIR,BADGAM,BADGAM,BADGAM (MC),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,MEARAJUDDIN GANAI,0000SFBC0000003G,4320003,SEMI URBAN,,,,"KRALPORA KRALPORA,-1,BADGAM,JAMMU & KASHMIR,190019",BC,Individual BC,,,19-Nov-24
95,NORTHERN REGION,JAMMU & KASHMIR,ANANTNAG,ANANTNAG,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,SHAMEEL AHMAD DAR,0000SFBC0000003H,4440006,URBAN,,,,"KULLAR KULLAR,-1,ANANTNAG,JAMMU & KASHMIR,192401",BC,Individual BC,,,30-Nov-22
96,NORTHERN REGION,JAMMU & KASHMIR,BADGAM,KHANSAHIB,KHANSAHIB (MC),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,ISHFAQ AHMAD WAGAY,0000SFBC0000003I,4320101,RURAL,,,,"KACHWARI, TEHSIL KHANSAHIB ISHFAQ TELECOM,,-1,BADGAM,JAMMU & KASHMIR,191111",BC,Individual BC,,,29-May-18
97,NORTHERN REGION,JAMMU & KASHMIR,PULWAMA,PULWAMA,PULWAMA (MC),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,JAHANGIR AHMAG,0000SFBC0000003J,4340033,SEMI URBAN,,,,"HARMAN HARMAN,-1,PULWAMA,JAMMU & KASHMIR,192303",BC,Individual BC,,,26-Jul-23
98,NORTHERN REGION,JAMMU & KASHMIR,BADGAM,KHANSAHIB,KHANSAHIB (MC),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,MUKHTAR AHMAD LONE,0000SFBC0000003K,4320101,RURAL,,,,"Block Khan Sahib Gurweth Kalan,,-1,BADGAM,JAMMU & KASHMIR,191111",BC,Individual BC,,,30-Apr-17
99,NORTHERN REGION,JAMMU & KASHMIR,KULGAM,KULGAM,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,IMTIYAZ AHMAD MIR,0000SFBC0000003L,1382401,RURAL,,,,"QASBAKHULL DAMHAL QASBAKHULL,-1,KULGAM,JAMMU & KASHMIR,192231",BC,Individual BC,,,29-Jan-24
100,NORTHERN REGION,JAMMU & KASHMIR,KULGAM,KULGAM,ANANTNAG (M CL + OG) (PART),REGIONAL RURAL BANKS,JAMMU AND KASHMIR GRAMEEN BANK,Jehangir Ahmad Dar,0000SFBC0000003M,1382401,RURAL,,,,"POHLOO POHLOO,-1,KULGAM,JAMMU & KASHMIR,192231",BC,Individual BC,,,25-Nov-22
