Branch Code,Branch Name,IFSC Code,Address,State
Br Code,Br. Name,IFSC Code,Branch Addres,State
0044,Moradabad,YESB0000044,"Yes Bank Ltd, Ground Floor,Rastogi Complex,Khasra No. 267,Gram Majhola,Delhi Road,Near Public Dharam Kanta, Moradabad-244001",Uttar Pradesh
0045,Cadell Road,YESB0000045,"Grnd Floor, Cadel Court,,230-232,Veer Sawarkar,Marg, Cadel Road, Shivaji Park, 400016",Maharashtra
0046,Vizag,YESB0000046,"Ground And First Floor, “Sun Tower”, T.S.No.1187 Of Block No.53, Waltair Main Road, Vishakhapatnam -530007, Andhra Pradesh. Landmark: Opp. Lazarus Hospital",Andhra Pradesh
0047,Raipur,YESB0000047,"Yes Bank Limited, Ground & First Floor, Golchha Chambers, Civil Lines, Sant Kabir Chowk, Near Holy Hearts School, Main Road Raipur, Chhattisgarh Pin Code- 492001",Chhattisgarh
0048,Thippasandra,YESB0000048,"Plot # 27, Indiranagar 80 Feet Road, Hal 3Rd Stage, New Thippasandra Post, Bangalore 560075",Karnataka
0049,Udaipur,YESB0000049,"Ground Floor And Part 1St Floor Of ‘Goverdhan Plaza’, 29, N.N.Acharya Marg, Udaipur – 313004 (Rajasthan)",Rajasthan
0050,Agra,YESB0000050,116/8 Sanjay Place Near Sanjay Cinema Hall Agra Up 282002,Uttar Pradesh
0051,Amritsar,YESB0000051,"42, Gyan Sadan, The Mall Road, Near Ritz Hotel, Amritsar, 143001",Punjab
0052,Boisar,YESB0000052,"Sarosh Niwas Gr Floor Khodaram Baug Opp Harmony Shopping Complex Tal Palghar Tarapur ,401501",Maharashtra
0053,Kashipur,YESB0000053,"Yes Bank Ltd., Ground Floor, Khasra No. 3 min & 17 min, Billion Tower, Ramnagar Road, Village Mahespura, Kashipur, Uttarakhand-244713",Uttarakhand
0054,Garhi Harsaru,YESB0000054,"Ground Floor Of 30/17,Near Garhi Harsaru Railway Stationdistrict Gurgaongarhiharsaruharyana123505",Haryana
0055,Green Park,YESB0000055,"A/2A, Ground Floor, Main Aurbindo Marg, Green Park, New Delhi-110016",Delhi
0056,Muktsar,YESB0000056,"Unit No 8004/1, Kotkapura Road, Muktsar, 152026",Punjab
0057,Rajpura,YESB0000057,"Shop No 5E-6E, Dalima Vihar Caliber Market, Rajpura, 140401",Punjab
0058,Chembur,YESB0000058,"Shrikant Chambers, Near R K Studio,Chembur Mumbai 400071",Maharashtra
0059,Rai,YESB0000059,"Ground Floor Mustkil no 8, Kila No - 15/2/3(4-4), Village Badmalik, Tehsil Rai, Sonepat, Haryana-131029.",Haryana
0060,Hathras,YESB0000060,"Ground Floor, Khasra No.-28/3, Near Radhey Garden, Agra Aligarh Road Village- Bijhari Tehsil-Sasni District Hathras UP-204216",Uttar Pradesh
0061,Saket,YESB0000061,"E-34, Upper Ground Floor, Saket, New Delhi -110017",Delhi
0062,Vashi,YESB0000062,"Ground Floor, Shop No. 23,23A,24,25,26,32&35, Mahavir Center, Plot No.77, Sector 17, Vashi, Navi Mumbai – 400703",Maharashtra
0063,Mangalore,YESB0000063,"Shop No 108-120,Ground Floor, Opp. Sharavu Ganapathi Temple, Ghs Road, Off K S Rao Road, Mangalore 575001",Karnataka
0064,Bhavnagar,YESB0000064,"Shop No. G1 & G2, Eva Surbhi, Opp. Aksharwadi Temple, Waghavadi Road, Bhavnagar, Gujarat, Pin : 364 001.",Gujarat
0065,Guwahati,YESB0000065,"Ground & First Floor, Building No. – 115, Goyal Enclave, G.S Road, Bhangagarh, Guwahati - 781 005",Assam
0066,Kapashera,YESB0000066,"Ground Floor Khasra No. 919-933, Old Delhi Gurgaon Road, Kapashera Village, New Delhi - 110037",Delhi
0067,Durg-Bhilai,YESB0000067,"Plot No 32, Shivnath Complex, Ground Floor,G.E Road, Supela Durg Bhilai Chhattisgarh 490023",Chhattisgarh
0068,Vasai,YESB0000068,"Ground Floor,,Gurudwara Shree Gurusingh Sabha,,Plot No 17/A,Ambadi Road,Vasai Road, Vasai (W), 401202",Maharashtra
0069,New Friends Colony,YESB0000069,"Ground, Mezzanine & First Floor, Plot No-22, Community Centre, New Friends Colony, New Delhi-110025",Delhi
0070,Panipat,YESB0000070,"Ground Floor, Sheela Shoppe, Sanjay Chowk., 132103",Haryana
0071,Jalandhar,YESB0000071,"Satnam Complex, Bmc Chowk, Jalandhar - 144 001, (Punjab)",Punjab
0072,Mathura,YESB0000072,"Heera Celebration, Ugf, 64/372/373, Opposite Kaila Devi Temple, Dampier Nagar, Mathura - 281001",Uttar Pradesh
0073,Kanpur,YESB0000073,"14-113 Padam Tower ,Civil Lines Kanpur 208001",Uttar Pradesh
0074,Bareilly,YESB0000074,"Mahalaxmi Towers Plot No 12 & 13,112 Civil Lines Bareilly 243001",Uttar Pradesh
0075,Vapi,YESB0000075,"Ground Floor, Fortune Hotel Galaxy Complex, Commercial Plot No C7/ 67/P, N H No 8, Gidc, Vapi 396 195, Gujrat",Gujarat
0076,Durgapur,YESB0000076,"Upper Gr Floor, City Plaza, Next To City Residency, Durgapur, Wb, 713216",West Bengal
0077,Thane 1 - Talaupali Thane,YESB0000077,"Ground And First Floor,Nirmal Deep Opp.Talao Pali,Dr. Moose Road, 400602",Maharashtra
0078,Andheri (E),YESB0000078,"Gr. Floor, Shop No. 1 & 2Nd Floor, Office No. 205, “Dynasty Business Park”, “A” Wing Of Building No. 2, Plot Bearing Cs No. 57, 58, 14, 11 &13, Andheri Kurla Road, Andheri –East, Mumbai 400 059.",Maharashtra
0079,Salem,YESB0000079,"Ground Floor, 5-315 Junction Main Road , Salem - 636004",Tamil Nadu
0080,Ranchi,YESB0000080,"Yes Bank Ltd.,Ground And First Floor, Crosswindz, 41 Court Road, Ranchi, Jharkhand - 834001",Jharkhand
0081,Rourkela,YESB0000081,"Holding No 72, Ground Floor Plot No 304, Udit Nagar, Rourkela, Odisha 769012",Odisha
0082,Fort,YESB0000082,"Shop No 6 And 7,Ground Floor, Botawalla Bldg,2/12 Horniman Circle,Mumbai-400001",Maharashtra
0083,Model Town,YESB0000083,"Yes Bank Ltd.,B-7,Ground Floor,Gujranwala Town Part-1,Opposite Model Town,New Delhi-110009",Delhi
0084,Chhatarpur,YESB0000084,"311/30, Ground Floor And First Floor, Chattarpur Main Road, Chattarpur, New Delhi-110074",Delhi
0085,Atta,YESB0000085,"Ground Floor , A-32, Sec-26 Noida, Uttar Pradesh 201301",Uttar Pradesh
0086,Pathankot,YESB0000086,"Ground Floor & Part First Floor, Patel Chowk, Improvement Trust Building Part-1, SCF-10, Pathankot, Punjab – 145001",Punjab
0087,Gajraula,YESB0000087,Shop No 74 Indra Chowk Kavi Nagar Gajraula 244235,Uttar Pradesh
0088,Aligarh,YESB0000088,"Ground floor, Fairview mall, Plot no. 97 d (old no. 13), Hafeez manzil, Mahabir park, Marris road, Aligarh, UP-202001",Uttar Pradesh
0089,Jhajjar,YESB0000089,"Ground Floor Of, Kadian Complex, Ward No.-1, Kanwar Colony, New Rohtak Road, Jhajjar , Haryana – 124201",Haryana
0090,Jammu,YESB0000090,"20 B/C Green Belt Gandhi Nagar Jammu, 180004",Jammu & Kashmir
0091,Shimla,YESB0000091,Cart Road Timber House Gf Shimla 171001,Himachal Pradesh
0092,Kishangarh,YESB0000092,"Gr. Flr, Khasra No. 512, Haryali Store, Tijara Road, Kishangarh 301405, Alwar, Rajasthan",Rajasthan
0093,Bhubaneswar,YESB0000093,"Plot No. 31, Bapuji Nagar, Janpath,Bhubaneswar,Orissa 751007",Odisha
0094,Chas Bokaro,YESB0000094,"Golden Palace, Ground Floor, Bye Pass Road, Chas Bokaro, Jharkhand - 827013",Jharkhand
0095,Sriperumbudur,YESB0000095,"Yes Bank Ltd,Ground Floor, Shiohm Inn, No 2 Car Street, Kothanda Nadar Nagar, Sriperumbudur – 602 105.",Tamil Nadu
0096,Kochi,YESB0000096,"First Floor, Puthuran Plaza, Northern Side, Kpcc Junction, M. G. Road, Kochi, Kerala- 682011.",Kerala
0097,Secunderabad,YESB0000097,"Ground Floor, Agravanshi Plaza, Bearing No 1-8-387, Huda Lane, Off S.P. Road, Secunderabad, Telanagana-500003",Telangana
0098,Rajkot,YESB0000098,"Gr Floor & 1St Floor, Nath Edifice, Dr. Yagnik Road & Race Course Road, Rajkot - 360 001.",Gujarat
0099,Thane 2,YESB0000099,"Shop No.4, 5 And 6,Vasundhara, Kanakia Spaces,Pokhran Road No.2, 400601",Maharashtra
0100,Ahmadnagar,YESB0000100,"Ground Floor, Unit No 1-5 Mark Square Apt, Next To Maruti Showroom, Ahmednagar, Maharashtra - 414003",Maharashtra
0101,Bodakdev,YESB0000101,"Shop No. 1, Shapath – 3, Near Gnfc Towers, S.G. Highway, Bodakdev, Ahmedabad – 380 054",Gujarat
