"MONTH,QUARTER,FISCAL_YEAR"
"Apr-24,Q1,FY2024-25"
"May-24,Q1,FY2024-25"
"Jun-24,Q1,FY2024-25"
"Jul-24,Q2,FY2024-25"
"Aug-24,Q2,FY2024-25"
"Sep-24,Q2,FY2024-25"
"Oct-24,Q3,FY2024-25"
"Nov-24,Q3,FY2024-25"
"Dec-24,Q3,FY2024-25"
"Jan-25,Q4,FY2024-25"
"Feb-25,Q4,FY2024-25"
"Mar-25,Q4,FY2024-25"
